"filename", "language", "Log", "C++", "JSON", "C", "XML", "comment", "blank", "total"
"e:\CppNagyHF\CppNagyHF\ActivationFunction.hpp", "C++", 0, 52, 0, 0, 0, 1, 22, 75
"e:\CppNagyHF\CppNagyHF\Apple.cpp", "C++", 0, 48, 0, 0, 0, 0, 19, 67
"e:\CppNagyHF\CppNagyHF\Apple.hpp", "C++", 0, 23, 0, 0, 0, 0, 10, 33
"e:\CppNagyHF\CppNagyHF\ConnectionGene.cpp", "C++", 0, 45, 0, 0, 0, 1, 20, 66
"e:\CppNagyHF\CppNagyHF\ConnectionGene.hpp", "C++", 0, 70, 0, 0, 0, 0, 25, 95
"e:\CppNagyHF\CppNagyHF\ControllerModel.hpp", "C++", 0, 11, 0, 0, 0, 0, 3, 14
"e:\CppNagyHF\CppNagyHF\CppNagyHF.vcxproj", "XML", 0, 0, 0, 0, 200, 0, 0, 200
"e:\CppNagyHF\CppNagyHF\Debug\CppNagyHF.log", "Log", 47, 0, 0, 0, 0, 0, 1, 48
"e:\CppNagyHF\CppNagyHF\Direction.hpp", "C++", 0, 34, 0, 0, 0, 0, 8, 42
"e:\CppNagyHF\CppNagyHF\FitnessFunction.hpp", "C++", 0, 77, 0, 0, 0, 0, 19, 96
"e:\CppNagyHF\CppNagyHF\Game.cpp", "C++", 0, 320, 0, 0, 0, 38, 137, 495
"e:\CppNagyHF\CppNagyHF\Game.hpp", "C++", 0, 95, 0, 0, 0, 0, 16, 111
"e:\CppNagyHF\CppNagyHF\GameReport.cpp", "C++", 0, 7, 0, 0, 0, 0, 3, 10
"e:\CppNagyHF\CppNagyHF\GameReport.hpp", "C++", 0, 14, 0, 0, 0, 0, 7, 21
"e:\CppNagyHF\CppNagyHF\GameUtils.cpp", "C++", 0, 11, 0, 0, 0, 0, 4, 15
"e:\CppNagyHF\CppNagyHF\GameUtils.hpp", "C++", 0, 14, 0, 0, 0, 0, 6, 20
"e:\CppNagyHF\CppNagyHF\HyperparameterLoader.cpp", "C++", 0, 100, 0, 0, 0, 3, 37, 140
